"type","id","author","editor","advisor","note","title","pages","article_no","num_pages","keywords","doi","journal","issue_date","volume","issue_no","description","month","year","issn","booktitle","acronym","edition","isbn","conf_loc","publisher","publisher_loc"
"article","1178575","Iulia  Dobai and Leon  Rothkrantz and Charles  van der Mast","","","","Personality Model for a Companion AIBO","438--441","","4","AIBO-robot, companion robot, human-computer interaction, personality modeling","10.1145/1178477.1178575","","","","","","","2005","","Proceedings of the 2005 ACM SIGCHI International Conference on Advances in Computer Entertainment Technology","ACE '05","","1-59593-110-4","Valencia, Spain","ACM","New York, NY, USA"
"article","1180642","Pablo  Cesar and Konstantinos  Chorianopoulos","","","","Interactive Digital Television and Multimedia Systems","7--7","","1","interactive digital television, software architecture, tutorial projects","10.1145/1180639.1180642","","","","","","","2006","","Proceedings of the 14th ACM International Conference on Multimedia","MM '06","","1-59593-447-2","Santa Barbara, CA, USA","ACM","New York, NY, USA"
"article","253259","T. C. Nicholas Graham and Tore  Urnes","","","","Integrating Support for Temporal Media into an Architecture for Graphical User Interfaces","172--182","","11","MVC, groupware, multimedia programming, software architecture","10.1145/253228.253259","","","","","","","1997","","Proceedings of the 19th International Conference on Software Engineering","ICSE '97","","0-89791-914-9","Boston, Massachusetts, USA","ACM","New York, NY, USA"
"article","1148604","Guillaume  Masserey and Chi Dung Tran and Kinan  Samaan and Franck  Tarpin-Bernard and Bertrand  David","","","","Environnement De Conception Et D{\'e}Veloppement D'Applications Interactives Selon L'Architecture AMF","329--330","","2","MBA, adaptative user interfaces, prototyping, software architecture","10.1145/1148550.1148604","","","","","","","2005","","Proceedings of the 17th Conference on L'Interaction Homme-Machine","IHM '05","","1-59593-192-9","Toulouse, France","ACM","New York, NY, USA"
"article","2522867","Davide Maria Calandra and Antonio  Caso and Francesco  Cutugno and Antonio  Origlia and Silvia  Rossi","","","","CoWME: A General Framework to Evaluate Cognitive Workload During Multimodal Interaction","111--118","","8","cognitive workload, eyetracking, speech, usability testing workflow","10.1145/2522848.2522867","","","","","","","2013","","Proceedings of the 15th ACM on International Conference on Multimodal Interaction","ICMI '13","","978-1-4503-2129-7","Sydney, Australia","ACM","New York, NY, USA"
"article","275521","Bastiaan  Sch&#246;nhage and Anton  Eli&#235;ns","","","","A Flexible Architecture for User-adaptable Visualization","8--10","","3","information visualization, software architecture, user-interaction","10.1145/275519.275521","","","","","","","1997","","Proceedings of the 1997 Workshop on New Paradigms in Information Visualization and Manipulation","NPIV '97","","1-58113-051-1","Las Vegas, Nevada, USA","ACM","New York, NY, USA"
"article","238592","Elizabeth M. Comstock and William M. Duane","","","","Embed User Values in System Architecture: The Declaration of System Usability","420--427","","8","complexity, design techniques, networks, software architecture, system architecture, system usability","10.1145/238386.238592","","","","","","","1996","","Proceedings of the SIGCHI Conference on Human Factors in Computing Systems","CHI '96","","0-89791-777-4","Vancouver, British Columbia, Canada","ACM","New York, NY, USA"
"article","286662","Olle  Sundblad and Yngve  Sundblad","","","","OLGA&Mdash;a Multimodal Interactive Information Assistant","183--184","","2","animation, discourse modeling, information assistant, multimodal interaction, software architecture, speech/voice","10.1145/286498.286662","","","","","","","1998","","CHI 98 Conference Summary on Human Factors in Computing Systems","CHI '98","","1-58113-028-7","Los Angeles, California, USA","ACM","New York, NY, USA"
"article","2996310","Chris  Zimmerer and Martin  Fischbach and Marc Erich Latoschik","","","","Maintainable Management and Access of Lexical Knowledge for Multimodal Virtual Reality Interfaces","347--348","","2","multimodal platforms, real-time interactive systems, software architecture, virtual reality","10.1145/2993369.2996310","","","","","","","2016","","Proceedings of the 22Nd ACM Conference on Virtual Reality Software and Technology","VRST '16","","978-1-4503-4491-3","Munich, Germany","ACM","New York, NY, USA"
"article","2480312","Chris  Branton and Brygg  Ullmer and Andre  Wiggins and Landon  Rogge and Narendra  Setty and Stephen David  Beck and Alex  Reeser","","","","Toward Rapid and Iterative Development of Tangible, Collaborative, Distributed User Interfaces","239--248","","10","distributed user interfaces, multi-device user interfaces, multi-platform user interfaces, software architecture, tangible interfaces","10.1145/2494603.2480312","","","","","","","2013","","Proceedings of the 5th ACM SIGCHI Symposium on Engineering Interactive Computing Systems","EICS '13","","978-1-4503-2138-9","London, United Kingdom","ACM","New York, NY, USA"
